bin,binSize,median,timestamp,article
0,7,750.1773742767737,20150701,Myrna_Loy
1,7,856.6725221835758,20150708,Myrna_Loy
2,7,774.9786932790321,20150715,Myrna_Loy
3,7,954.5479405887909,20150722,Myrna_Loy
4,7,1930.204058460405,20150729,Myrna_Loy
5,7,968.6803396499322,20150805,Myrna_Loy
6,7,881.9527415619298,20150812,Myrna_Loy
7,7,940.5408415994602,20150819,Myrna_Loy
8,7,833.615590709325,20150826,Myrna_Loy
9,7,744.5167913808242,20150902,Myrna_Loy
10,7,682.0082092818398,20150909,Myrna_Loy
11,7,740.534167849773,20150916,Myrna_Loy
12,7,911.7354273798295,20150923,Myrna_Loy
13,7,679.6601209463678,20150930,Myrna_Loy
14,7,687.4837192289915,20151007,Myrna_Loy
15,7,725.1214267051182,20151014,Myrna_Loy
16,7,1315.0270749059976,20151021,Myrna_Loy
17,7,886.264876946796,20151028,Myrna_Loy
18,7,940.0839955683387,20151103,Myrna_Loy
19,7,1527.8293726533013,20151110,Myrna_Loy
20,7,884.1410388795581,20151117,Myrna_Loy
21,7,901.8051000729276,20151124,Myrna_Loy
22,7,774.7034522419469,20151201,Myrna_Loy
23,7,714.6488792552332,20151208,Myrna_Loy
24,7,812.3951080569572,20151215,Myrna_Loy
25,7,966.8864061642503,20151222,Myrna_Loy
26,7,1558.176709903439,20151229,Myrna_Loy
27,7,1046.3955863966921,20160105,Myrna_Loy
28,7,934.0206349055373,20160112,Myrna_Loy
29,7,2176.9608692329953,20160119,Myrna_Loy
30,7,849.841881954941,20160126,Myrna_Loy
31,7,767.9275679769826,20160202,Myrna_Loy
32,7,1136.4504582181453,20160209,Myrna_Loy
33,7,1032.4342587542637,20160216,Myrna_Loy
34,7,931.2319075676703,20160223,Myrna_Loy
35,7,876.0670943407512,20160301,Myrna_Loy
36,7,730.1916005098202,20160308,Myrna_Loy
37,7,867.1304876432785,20160316,Myrna_Loy
38,7,970.4452826050377,20160323,Myrna_Loy
39,7,979.7792395627644,20160330,Myrna_Loy
40,7,746.2739181603604,20160406,Myrna_Loy
41,7,784.6975283555921,20160413,Myrna_Loy
42,7,989.2306913216054,20160420,Myrna_Loy
43,7,721.6818037926372,20160427,Myrna_Loy
44,7,711.8335272718308,20160504,Myrna_Loy
45,7,731.5456224041127,20160511,Myrna_Loy
46,7,720.5115102862652,20160518,Myrna_Loy
47,7,901.700342203535,20160525,Myrna_Loy
48,7,896.8290688685476,20160601,Myrna_Loy
49,7,907.2651465903971,20160608,Myrna_Loy
50,7,971.4995234210478,20160615,Myrna_Loy
51,7,883.0100178215273,20160622,Myrna_Loy
52,7,945.7636883058943,20160629,Myrna_Loy
53,7,978.1495204565515,20160706,Myrna_Loy
54,7,834.0053429873335,20160713,Myrna_Loy
55,7,873.9539010531907,20160720,Myrna_Loy
56,7,880.404375862867,20160727,Myrna_Loy
57,7,1686.0219439411894,20160803,Myrna_Loy
58,7,941.5155776827431,20160810,Myrna_Loy
59,7,892.1301816095997,20160817,Myrna_Loy
60,7,971.9856244349023,20160824,Myrna_Loy
61,7,784.5512620755478,20160831,Myrna_Loy
62,7,717.0537793501054,20160907,Myrna_Loy
63,7,595.0021782989438,20160914,Myrna_Loy
64,7,636.9662519554798,20160921,Myrna_Loy
65,7,621.5469072613802,20160928,Myrna_Loy
66,7,692.8190738787029,20161005,Myrna_Loy
67,7,631.4350980172571,20161012,Myrna_Loy
68,7,771.7489867032558,20161019,Myrna_Loy
69,7,740.4389777758046,20161026,Myrna_Loy
70,7,673.1618374372679,20161102,Myrna_Loy
71,7,733.4083988276577,20161108,Myrna_Loy
72,7,771.3465339361967,20161115,Myrna_Loy
73,7,952.2416482256891,20161122,Myrna_Loy
74,7,1584.5395712912384,20161129,Myrna_Loy
75,7,1463.4195941068383,20161206,Myrna_Loy
76,7,2775.096611639082,20161213,Myrna_Loy
77,7,3351.4691835616186,20161220,Myrna_Loy
78,7,2805.078416385829,20161227,Myrna_Loy
79,7,1435.0409642237055,20170103,Myrna_Loy
80,7,1521.6326473422878,20170110,Myrna_Loy
