bin,binSize,median,timestamp,article,level,change
0,7,9,20150701,AJ_McLean,0,false
1,7,9,20150708,AJ_McLean,0,false
2,7,8,20150715,AJ_McLean,0,false
3,7,9,20150722,AJ_McLean,0,false
4,7,7,20150729,AJ_McLean,0,false
5,7,7,20150805,AJ_McLean,0,false
6,7,7,20150812,AJ_McLean,0,false
7,7,8,20150819,AJ_McLean,0,false
8,7,8,20150826,AJ_McLean,0,false
9,7,5,20150902,AJ_McLean,0,false
10,7,7,20150909,AJ_McLean,0,false
11,7,10,20150916,AJ_McLean,0,false
12,7,5,20150923,AJ_McLean,0,false
13,7,6,20150930,AJ_McLean,0,false
14,7,10,20151007,AJ_McLean,0,false
15,7,8,20151014,AJ_McLean,0,false
16,7,8,20151021,AJ_McLean,0,false
17,7,6,20151028,AJ_McLean,0,false
18,7,9,20151103,AJ_McLean,0,false
19,7,7,20151110,AJ_McLean,0,false
20,7,8,20151117,AJ_McLean,0,false
21,7,10,20151124,AJ_McLean,0,false
22,7,6,20151201,AJ_McLean,0,false
23,7,7,20151208,AJ_McLean,0,false
24,7,4,20151215,AJ_McLean,0,false
25,7,5,20151222,AJ_McLean,0,false
26,7,7,20151229,AJ_McLean,0,false
27,7,8,20160105,AJ_McLean,0,false
28,7,5,20160112,AJ_McLean,0,false
29,7,6,20160119,AJ_McLean,0,false
30,7,4,20160126,AJ_McLean,0,false
31,7,5,20160202,AJ_McLean,0,false
32,7,4,20160209,AJ_McLean,0,false
33,7,5,20160216,AJ_McLean,0,false
34,7,9,20160223,AJ_McLean,0,false
35,7,9,20160301,AJ_McLean,0,false
36,7,6,20160308,AJ_McLean,0,false
37,7,7,20160316,AJ_McLean,0,false
38,7,7,20160323,AJ_McLean,0,false
39,7,8,20160330,AJ_McLean,0,false
40,7,6,20160406,AJ_McLean,0,false
41,7,7,20160413,AJ_McLean,0,false
42,7,5,20160420,AJ_McLean,0,false
43,7,5,20160427,AJ_McLean,0,false
44,7,6,20160504,AJ_McLean,0,false
45,7,6,20160511,AJ_McLean,0,false
46,7,6,20160518,AJ_McLean,0,false
47,7,6,20160525,AJ_McLean,0,false
48,7,7,20160601,AJ_McLean,0,false
49,7,6,20160608,AJ_McLean,0,false
50,7,5,20160615,AJ_McLean,0,false
51,7,6,20160622,AJ_McLean,0,false
52,7,6,20160629,AJ_McLean,0,false
53,7,7,20160706,AJ_McLean,0,false
54,7,3,20160713,AJ_McLean,0,false
55,7,5,20160720,AJ_McLean,0,false
56,7,7,20160727,AJ_McLean,0,false
57,7,6,20160803,AJ_McLean,0,false
58,7,6,20160810,AJ_McLean,0,false
59,7,6,20160817,AJ_McLean,0,false
60,7,6,20160824,AJ_McLean,0,false
61,7,9,20160831,AJ_McLean,0,false
62,7,5,20160907,AJ_McLean,0,false
63,7,5,20160914,AJ_McLean,0,false
64,7,9,20160921,AJ_McLean,0,false
65,7,7,20160928,AJ_McLean,0,false
66,7,7,20161005,AJ_McLean,0,false
67,7,5,20161012,AJ_McLean,0,false
68,7,8,20161019,AJ_McLean,0,false
69,7,5,20161026,AJ_McLean,0,false
70,7,5,20161102,AJ_McLean,0,false
71,7,7,20161108,AJ_McLean,0,false
72,7,6,20161115,AJ_McLean,0,false
73,7,9,20161122,AJ_McLean,0,false
74,7,8,20161129,AJ_McLean,0,false
75,7,6,20161206,AJ_McLean,0,false
76,7,9,20161213,AJ_McLean,0,false
77,7,7,20161220,AJ_McLean,0,false
78,7,7,20161227,AJ_McLean,0,false
79,7,6,20170103,AJ_McLean,0,false
80,7,6,20170110,AJ_McLean,0,false
81,7,9,20170117,AJ_McLean,0,false
82,7,9,20170124,AJ_McLean,0,false
83,7,5,20170131,AJ_McLean,0,false
84,7,7,20170207,AJ_McLean,0,false
85,7,8,20170214,AJ_McLean,0,false
86,7,1511,20170221,AJ_McLean,4,true
87,7,1807,20170228,AJ_McLean,4,false
88,7,1770,20170307,AJ_McLean,4,false
89,7,1598,20170315,AJ_McLean,4,false
90,7,1452,20170322,AJ_McLean,4,false
91,7,1543,20170329,AJ_McLean,4,false
92,7,1595,20170405,AJ_McLean,4,false
93,7,1496,20170412,AJ_McLean,4,false
94,7,1747,20170419,AJ_McLean,4,false
95,7,1469,20170426,AJ_McLean,4,false
96,7,1246,20170503,AJ_McLean,4,false
97,7,1275,20170510,AJ_McLean,4,false
98,7,1223,20170517,AJ_McLean,4,false
99,7,1105,20170524,AJ_McLean,4,false
100,7,1100,20170531,AJ_McLean,4,false
101,7,1510,20170607,AJ_McLean,4,false
102,7,1384,20170614,AJ_McLean,4,false
103,7,1633,20170621,AJ_McLean,4,false
104,7,1572,20170628,AJ_McLean,4,false
105,7,1874,20170705,AJ_McLean,4,false
106,7,2210,20170712,AJ_McLean,4,false
107,7,1592,20170719,AJ_McLean,4,false
108,7,1298,20170726,AJ_McLean,4,false
109,7,1267,20170802,AJ_McLean,4,false
110,7,1787,20170809,AJ_McLean,4,false
111,7,1707,20170816,AJ_McLean,4,false
112,7,1332,20170823,AJ_McLean,4,false
113,7,1948,20170830,AJ_McLean,4,false
114,7,1245,20170906,AJ_McLean,4,false
115,7,1294,20170913,AJ_McLean,4,false
116,7,1101,20170920,AJ_McLean,4,false
117,7,892,20170927,AJ_McLean,4,false
118,7,968,20171004,AJ_McLean,4,false
119,7,1109,20171011,AJ_McLean,4,false
120,7,1823,20171018,AJ_McLean,4,false
121,7,1143,20171025,AJ_McLean,4,false
122,7,1062,20171101,AJ_McLean,4,false
123,7,1127,20171107,AJ_McLean,4,false
124,7,1151,20171114,AJ_McLean,4,false
125,7,2196,20171121,AJ_McLean,4,false
126,7,1703,20171128,AJ_McLean,4,false
127,7,1436,20171205,AJ_McLean,4,false
128,7,1416,20171212,AJ_McLean,4,false
129,7,1153,20171219,AJ_McLean,4,false
130,7,1246,20171226,AJ_McLean,4,false
131,7,1112,20180102,AJ_McLean,4,false
132,7,1352,20180109,AJ_McLean,4,false
133,7,1111,20180116,AJ_McLean,4,false
134,7,1049,20180123,AJ_McLean,4,false
135,7,1605,20180130,AJ_McLean,4,false
136,7,1475,20180206,AJ_McLean,4,false
137,7,1226,20180213,AJ_McLean,4,false
138,7,1090,20180220,AJ_McLean,4,false
139,7,1017,20180227,AJ_McLean,4,false
140,7,925,20180306,AJ_McLean,4,false
141,7,1000,20180314,AJ_McLean,4,false
142,7,1028,20180321,AJ_McLean,4,false
143,7,982,20180328,AJ_McLean,4,false
144,7,854,20180404,AJ_McLean,4,false
145,7,1096,20180411,AJ_McLean,5,true
146,7,1590,20180418,AJ_McLean,5,false
147,7,1263,20180425,AJ_McLean,5,false
148,7,1202,20180502,AJ_McLean,5,false
149,7,1226,20180509,AJ_McLean,5,false
150,7,4823,20180516,AJ_McLean,5,false
151,7,2375,20180523,AJ_McLean,5,false
152,7,3184,20180530,AJ_McLean,5,false
153,7,2293,20180606,AJ_McLean,5,false
154,7,1816,20180613,AJ_McLean,5,false
155,7,1654,20180620,AJ_McLean,5,false
156,7,3740,20180627,AJ_McLean,5,false
157,7,2308,20180704,AJ_McLean,5,false
158,7,2425,20180711,AJ_McLean,5,false
159,7,1755,20180718,AJ_McLean,5,false
160,7,2325,20180725,AJ_McLean,5,false
161,7,1760,20180801,AJ_McLean,5,false
162,7,1544,20180808,AJ_McLean,5,false
163,7,1925,20180815,AJ_McLean,5,false
164,7,1923,20180822,AJ_McLean,5,false
165,7,1355,20180829,AJ_McLean,5,false
166,7,1300,20180905,AJ_McLean,5,false
167,7,1300,20180912,AJ_McLean,5,false
0,7,86,20160731,AJ_Pritchard,0,false
1,7,82,20160807,AJ_Pritchard,0,false
2,7,68,20160814,AJ_Pritchard,0,false
3,7,77,20160821,AJ_Pritchard,0,false
4,7,191,20160828,AJ_Pritchard,0,false
5,7,429,20160904,AJ_Pritchard,0,false
6,7,133,20160911,AJ_Pritchard,0,false
7,7,194,20160918,AJ_Pritchard,0,false
8,7,1380,20160925,AJ_Pritchard,0,false
9,7,1079,20161002,AJ_Pritchard,0,false
10,7,1311,20161009,AJ_Pritchard,0,false
11,7,1412,20161016,AJ_Pritchard,0,false
12,7,1600,20161023,AJ_Pritchard,0,false
13,7,1149,20161030,AJ_Pritchard,0,false
14,7,2021,20161106,AJ_Pritchard,0,false
15,7,2021,20161112,AJ_Pritchard,0,false
16,7,2223,20161119,AJ_Pritchard,0,false
17,7,1306,20161126,AJ_Pritchard,0,false
18,7,2130,20161203,AJ_Pritchard,0,false
19,7,1726,20161210,AJ_Pritchard,0,false
20,7,654,20161217,AJ_Pritchard,0,false
21,7,297,20161224,AJ_Pritchard,0,false
22,7,148,20161231,AJ_Pritchard,0,false
23,7,36,20170107,AJ_Pritchard,0,false
24,7,38,20170114,AJ_Pritchard,0,false
25,7,30,20170121,AJ_Pritchard,0,false
26,7,22,20170128,AJ_Pritchard,0,false
27,7,22,20170204,AJ_Pritchard,0,false
28,7,22,20170211,AJ_Pritchard,0,false
29,7,22,20170218,AJ_Pritchard,0,false
30,7,15,20170225,AJ_Pritchard,0,false
31,7,18,20170304,AJ_Pritchard,0,false
32,7,23,20170311,AJ_Pritchard,0,false
33,7,22,20170319,AJ_Pritchard,0,false
34,7,20,20170326,AJ_Pritchard,0,false
35,7,17,20170402,AJ_Pritchard,0,false
36,7,22,20170409,AJ_Pritchard,0,false
37,7,17,20170416,AJ_Pritchard,0,false
38,7,20,20170423,AJ_Pritchard,0,false
39,7,17,20170430,AJ_Pritchard,0,false
40,7,28,20170507,AJ_Pritchard,0,false
41,7,30,20170514,AJ_Pritchard,0,false
42,7,23,20170521,AJ_Pritchard,0,false
43,7,35,20170528,AJ_Pritchard,0,false
44,7,23,20170604,AJ_Pritchard,0,false
45,7,25,20170611,AJ_Pritchard,0,false
46,7,33,20170618,AJ_Pritchard,0,false
47,7,27,20170625,AJ_Pritchard,0,false
48,7,33,20170702,AJ_Pritchard,0,false
49,7,13,20170709,AJ_Pritchard,0,false
50,7,15,20170716,AJ_Pritchard,0,false
51,7,11,20170723,AJ_Pritchard,0,false
52,7,18,20170730,AJ_Pritchard,0,false
53,7,24,20170806,AJ_Pritchard,0,false
54,7,24,20170813,AJ_Pritchard,0,false
55,7,32,20170820,AJ_Pritchard,0,false
56,7,33,20170827,AJ_Pritchard,0,false
57,7,37,20170903,AJ_Pritchard,0,false
58,7,247,20170910,AJ_Pritchard,0,false
59,7,610,20170917,AJ_Pritchard,0,false
60,7,2266,20170924,AJ_Pritchard,0,false
61,7,1756,20171001,AJ_Pritchard,0,false
62,7,3227,20171008,AJ_Pritchard,0,false
63,7,1751,20171015,AJ_Pritchard,0,false
64,7,2751,20171022,AJ_Pritchard,0,false
65,7,1850,20171029,AJ_Pritchard,0,false
66,7,2851,20171105,AJ_Pritchard,0,false
67,7,1270,20171111,AJ_Pritchard,0,false
68,7,2225,20171118,AJ_Pritchard,0,false
69,7,4725,20171125,AJ_Pritchard,0,false
70,7,4651,20171202,AJ_Pritchard,0,false
71,7,3119,20171209,AJ_Pritchard,0,false
72,7,826,20171216,AJ_Pritchard,0,false
73,7,495,20171223,AJ_Pritchard,0,false
74,7,464,20171230,AJ_Pritchard,0,false
75,7,200,20180106,AJ_Pritchard,0,false
76,7,153,20180113,AJ_Pritchard,0,false
77,7,132,20180120,AJ_Pritchard,0,false
78,7,130,20180127,AJ_Pritchard,0,false
79,7,121,20180203,AJ_Pritchard,0,false
80,7,155,20180210,AJ_Pritchard,0,false
81,7,80,20180217,AJ_Pritchard,0,false
82,7,87,20180224,AJ_Pritchard,0,false
83,7,70,20180303,AJ_Pritchard,0,false
84,7,89,20180310,AJ_Pritchard,0,false
85,7,61,20180318,AJ_Pritchard,0,false
86,7,76,20180325,AJ_Pritchard,0,false
87,7,88,20180401,AJ_Pritchard,0,false
88,7,72,20180408,AJ_Pritchard,0,false
89,7,106,20180415,AJ_Pritchard,0,false
90,7,82,20180422,AJ_Pritchard,0,false
91,7,67,20180429,AJ_Pritchard,0,false
92,7,61,20180506,AJ_Pritchard,0,false
93,7,63,20180513,AJ_Pritchard,0,false
94,7,57,20180520,AJ_Pritchard,0,false
95,7,102,20180527,AJ_Pritchard,0,false
96,7,61,20180603,AJ_Pritchard,0,false
97,7,73,20180610,AJ_Pritchard,0,false
98,7,51,20180617,AJ_Pritchard,0,false
99,7,48,20180624,AJ_Pritchard,0,false
100,7,45,20180701,AJ_Pritchard,0,false
101,7,47,20180708,AJ_Pritchard,0,false
102,7,50,20180715,AJ_Pritchard,0,false
103,7,48,20180722,AJ_Pritchard,0,false
104,7,114,20180729,AJ_Pritchard,2,true
105,7,105,20180805,AJ_Pritchard,2,false
106,7,212,20180812,AJ_Pritchard,3,true
107,7,207,20180819,AJ_Pritchard,3,false
108,7,219,20180826,AJ_Pritchard,3,false
109,7,238,20180902,AJ_Pritchard,3,false
110,7,1320,20180909,AJ_Pritchard,5,true
0,7,146,20150701,Aaron_Judge,0,false
1,7,213,20150708,Aaron_Judge,0,false
2,7,185,20150715,Aaron_Judge,0,false
3,7,317,20150722,Aaron_Judge,0,false
4,7,330,20150729,Aaron_Judge,0,false
5,7,121,20150805,Aaron_Judge,0,false
6,7,191,20150812,Aaron_Judge,0,false
7,7,141,20150819,Aaron_Judge,0,false
8,7,111,20150826,Aaron_Judge,0,false
9,7,110,20150902,Aaron_Judge,0,false
10,7,85,20150909,Aaron_Judge,0,false
11,7,69,20150916,Aaron_Judge,0,false
12,7,60,20150923,Aaron_Judge,0,false
13,7,59,20150930,Aaron_Judge,0,false
14,7,106,20151007,Aaron_Judge,0,false
15,7,61,20151014,Aaron_Judge,0,false
16,7,41,20151021,Aaron_Judge,0,false
17,7,36,20151028,Aaron_Judge,0,false
18,7,62,20151103,Aaron_Judge,0,false
19,7,68,20151110,Aaron_Judge,0,false
20,7,68,20151117,Aaron_Judge,0,false
21,7,41,20151124,Aaron_Judge,0,false
22,7,56,20151201,Aaron_Judge,0,false
23,7,90,20151208,Aaron_Judge,0,false
24,7,49,20151215,Aaron_Judge,0,false
25,7,44,20151222,Aaron_Judge,0,false
26,7,43,20151229,Aaron_Judge,0,false
27,7,40,20160105,Aaron_Judge,0,false
28,7,69,20160112,Aaron_Judge,1,true
29,7,58,20160119,Aaron_Judge,1,false
30,7,81,20160126,Aaron_Judge,1,false
31,7,81,20160202,Aaron_Judge,1,false
32,7,219,20160209,Aaron_Judge,1,false
33,7,179,20160216,Aaron_Judge,1,false
34,7,461,20160223,Aaron_Judge,1,false
35,7,628,20160301,Aaron_Judge,1,false
36,7,322,20160308,Aaron_Judge,1,false
37,7,87,20160316,Aaron_Judge,1,false
38,7,104,20160323,Aaron_Judge,1,false
39,7,148,20160330,Aaron_Judge,1,false
40,7,133,20160406,Aaron_Judge,1,false
41,7,110,20160413,Aaron_Judge,1,false
42,7,129,20160420,Aaron_Judge,1,false
43,7,100,20160427,Aaron_Judge,1,false
44,7,167,20160504,Aaron_Judge,1,false
45,7,123,20160511,Aaron_Judge,1,false
46,7,124,20160518,Aaron_Judge,1,false
47,7,103,20160525,Aaron_Judge,1,false
48,7,126,20160601,Aaron_Judge,1,false
49,7,121,20160608,Aaron_Judge,1,false
50,7,95,20160615,Aaron_Judge,1,false
51,7,165,20160622,Aaron_Judge,1,false
52,7,157,20160629,Aaron_Judge,1,false
53,7,133,20160706,Aaron_Judge,1,false
54,7,98,20160713,Aaron_Judge,1,false
55,7,97,20160720,Aaron_Judge,1,false
56,7,147,20160727,Aaron_Judge,1,false
57,7,401,20160803,Aaron_Judge,1,false
58,7,6916,20160810,Aaron_Judge,1,false
59,7,1391,20160817,Aaron_Judge,1,false
60,7,918,20160824,Aaron_Judge,1,false
61,7,707,20160831,Aaron_Judge,1,false
62,7,1176,20160907,Aaron_Judge,1,false
63,7,353,20160914,Aaron_Judge,1,false
64,7,224,20160921,Aaron_Judge,1,false
65,7,204,20160928,Aaron_Judge,1,false
66,7,97,20161005,Aaron_Judge,1,false
67,7,110,20161012,Aaron_Judge,1,false
68,7,84,20161019,Aaron_Judge,1,false
69,7,94,20161026,Aaron_Judge,1,false
70,7,96,20161102,Aaron_Judge,1,false
71,7,79,20161108,Aaron_Judge,1,false
72,7,102,20161115,Aaron_Judge,1,false
73,7,75,20161122,Aaron_Judge,1,false
74,7,89,20161129,Aaron_Judge,1,false
75,7,135,20161206,Aaron_Judge,1,false
